replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
69,NoControl,NoControl,,1,0.8604289293289185,0.8600000143051147,0.87,0,Forward,19337,attack,attacker,0.0013029999763602973,6.67,0.0,90.79349628175366,6.59,0.0,90.69983337734114,0,targeted,single
70,NoControl,NoControl,,0,0.8287397623062134,0.8299999833106995,0.83,0,Forward,19448,benign,client,0.0012279999737074832,6.375,0.0,90.71850092526483,6.33,0.0,90.7464339917247,0,targeted,single
71,NoControl,NoControl,,0,0.7975900769233704,0.800000011920929,0.8,0,Forward,19709,benign,client,0.001150000002780871,6.57,0.0,90.64577390133263,6.561,0.0,90.78869683699183,0,targeted,single
72,NoControl,NoControl,,0,0.6926899552345276,0.6899999976158142,0.69,0,Forward,19803,benign,client,0.0013599999988400668,6.639,0.0,90.73858124411903,6.595,0.0,90.9187091451071,0,targeted,single
73,NoControl,NoControl,,0,0.7526609301567078,0.75,0.75,0,Forward,19816,benign,client,0.0013110000054439297,6.652,0.0,90.74197015795515,6.531,0.0,90.96968855704674,0,targeted,single
74,NoControl,NoControl,,0,0.7800804376602173,0.7799999713897705,0.78,0,Forward,19847,benign,client,0.0017960000491257233,6.458,0.0,91.19002069961999,6.357,0.0,90.78472526641286,70,targeted,single
75,NoControl,NoControl,,1,0.910107433795929,0.9100000262260436,0.91,0,Forward,20083,attack,attacker,0.0012600000331985939,6.359,0.0,91.08505959429247,6.254,0.0,91.00958200249966,0,targeted,single
76,NoControl,NoControl,,1,0.9488750696182252,0.949999988079071,0.95,0,Forward,20134,attack,attacker,0.0012510000146903621,6.36,0.0,91.13522523816539,6.532,0.0,90.91223702319198,0,targeted,single
77,NoControl,NoControl,,1,0.8454464077949524,0.8500000238418579,0.85,0,Forward,20212,attack,attacker,0.0016089999803625687,6.381,0.0,91.05125812233615,6.257,0.0,91.09397204303829,0,targeted,single
78,NoControl,NoControl,,1,0.8581823706626892,0.8600000143051147,0.86,0,Forward,20257,attack,attacker,0.0011629999789875,6.262,0.0,91.1445644784529,6.321,0.0,90.5881539843804,0,targeted,single
79,NoControl,NoControl,,0,0.8401124477386475,0.8399999737739563,0.84,0,Forward,20753,benign,client,0.0013820000503983465,6.376,0.0,90.67853202591056,6.446,0.0,90.7523037748655,0,targeted,single
80,NoControl,NoControl,,0,0.8276398181915283,0.8299999833106995,0.83,0,Forward,21426,benign,client,0.0015080000252964965,6.332,0.0,90.8031794647415,6.485,0.0,90.64692869707015,140,targeted,single
81,NoControl,NoControl,,0,0.8077338337898254,0.8100000023841858,0.81,0,Forward,21444,benign,client,0.0013630000239572837,6.494,0.0,90.74378870388556,6.591,0.0,90.7983789962246,0,targeted,single
82,NoControl,NoControl,,1,0.8508247137069702,0.8500000238418579,0.85,0,Forward,21705,attack,attacker,0.0018609999870022875,6.732,0.0,90.69025478739191,6.647,0.0,90.63125897876576,0,targeted,single
83,NoControl,NoControl,,1,0.886523425579071,0.8799999952316284,0.88,0,Forward,22059,attack,attacker,0.001166000004104717,6.595,0.0,90.77727950805256,6.823,0.0,90.79548240732893,0,targeted,single
84,NoControl,NoControl,,0,0.8100687265396118,0.8100000023841858,0.81,0,Forward,22266,benign,client,0.0012160000437688723,6.495,0.0,90.70487120627847,6.749,0.0,90.65913833759713,0,targeted,single
85,NoControl,NoControl,,1,0.847369909286499,0.8500000238418579,0.85,0,Forward,22361,attack,attacker,0.0014180000107444357,6.636,0.0,90.67737642481715,6.682,0.0,91.35288411014622,0,targeted,single
86,NoControl,NoControl,,1,0.8598287105560303,0.8600000143051147,0.86,0,Forward,22536,attack,attacker,0.0019400000041969179,6.539,0.0,90.7480047043519,6.534,0.0,90.95190621400013,0,targeted,single
87,NoControl,NoControl,,1,0.8598287105560303,0.8600000143051147,0.86,0,Forward,22548,attack,attacker,0.001445000009425712,6.559,0.0,90.96407009769327,6.486,0.0,90.77496329898186,0,targeted,single
88,NoControl,NoControl,,1,0.880372166633606,0.8799999952316284,0.89,0,Forward,22613,attack,attacker,0.0012809999816454365,6.518,0.0,90.64717615712769,6.655,0.0,90.86795261699345,0,targeted,single
89,NoControl,NoControl,,1,0.8707939386367798,0.8700000047683716,0.87,0,Forward,22848,attack,attacker,0.0012360000027911155,6.646,0.0,90.57126932878967,6.323,0.0,90.8917480480779,0,targeted,single
90,NoControl,NoControl,,1,0.8508075475692749,0.8500000238418579,0.85,0,Forward,22856,attack,attacker,0.0011950000384786108,15.662,0.0,90.7121398800336,6.519,0.0,90.76098583208055,0,targeted,single
91,NoControl,NoControl,,0,0.830065131187439,0.8299999833106995,0.82,0,Forward,23186,benign,client,0.001212000029227056,6.254,0.0,90.75379200956236,6.44,0.0,90.65427058667214,0,targeted,single
92,NoControl,NoControl,,0,0.7924128174781799,0.7900000214576721,0.78,0,Forward,23283,benign,client,0.0013289999856169743,6.304,0.0,90.83497468668389,6.316,0.0,90.80375886595938,0,targeted,single
93,NoControl,NoControl,,0,0.7760483622550964,0.7799999713897705,0.78,0,Forward,23456,benign,client,0.001950000012129749,6.605,0.0,90.84740074381719,6.567,0.0,90.79324802216632,0,targeted,single
94,NoControl,NoControl,,0,0.7760480642318726,0.7799999713897705,0.78,0,Forward,23465,benign,client,0.0019110000266664429,6.514,0.0,90.8582556150952,6.409,0.0,90.81741832198587,70,targeted,single
95,NoControl,NoControl,,1,0.8600333333015442,0.8600000143051147,0.86,0,Forward,23536,attack,attacker,0.00192699997114687,6.901,0.0,90.84483241331573,6.808,0.0,90.986140364658,0,targeted,single
96,NoControl,NoControl,,1,0.8492719531059265,0.8500000238418579,0.85,0,Forward,23727,attack,attacker,0.0012100000503778574,6.606,0.0,90.958563071635,6.564,0.0,90.87964149812476,0,targeted,single
97,NoControl,NoControl,,0,0.8246086239814758,0.8199999928474426,0.82,0,Forward,23846,benign,client,0.0010260000067319197,6.651,0.0,90.75552834506786,6.442,0.0,90.6814211575102,0,targeted,single
98,NoControl,NoControl,,0,0.8473970890045166,0.8399999737739563,0.84,0,Forward,23889,benign,client,0.0010889999657592853,6.346,0.0,91.04143875397676,6.238,0.0,91.14601174555287,0,targeted,single
99,NoControl,NoControl,,1,0.8532842397689819,0.8500000238418579,0.85,0,Forward,24271,attack,attacker,0.0011250000397922122,6.592,0.0,90.75337860613935,6.474,0.0,91.0074202112595,0,targeted,single
100,NoControl,NoControl,,0,0.8334739208221436,0.8299999833106995,0.83,0,Forward,24798,benign,client,0.001364000013381883,6.478,0.0,90.68984196261691,6.36,0.0,90.51711620189604,0,targeted,single
101,NoControl,NoControl,,0,0.8424508571624756,0.8399999737739563,0.84,0,Forward,25175,benign,client,0.0010960000054183183,6.443,0.0,90.77430154667124,6.416,0.0,90.6113909703992,0,targeted,single
102,NoControl,NoControl,,0,0.8324522972106934,0.8299999833106995,0.83,0,Forward,25181,benign,client,0.0010720000318542589,6.327,0.0,90.6829070683071,6.682,0.0,90.5199950566666,0,targeted,single
103,NoControl,NoControl,,0,0.8324527740478516,0.8299999833106995,0.83,0,Forward,25182,benign,client,0.0014860000305816357,6.857,0.0,90.8165075637331,6.585,0.0,90.54928752967871,0,targeted,single
104,NoControl,NoControl,,1,0.848400354385376,0.8500000238418579,0.85,0,Forward,25757,attack,attacker,0.0017280000292885234,6.787,0.0,90.7642937194194,6.6,0.0,90.65311560386438,0,targeted,single
105,NoControl,NoControl,,1,0.8757197856903076,0.8799999952316284,0.87,0,Forward,25947,attack,attacker,0.0011930000027859933,6.583,0.0,90.70041146043415,6.682,0.0,90.24838192979786,0,targeted,single
106,NoControl,NoControl,,1,0.9076886177062988,0.9100000262260436,0.91,0,Forward,26007,attack,attacker,0.0011749999657695298,6.711,0.0,90.75271716849633,6.649,0.0,91.0745667968889,0,targeted,single
107,NoControl,NoControl,,0,0.8287405371665955,0.8299999833106995,0.83,0,Forward,26111,benign,client,0.0014689999829897715,6.674,0.0,90.79697205853533,6.569,0.0,90.8641398736117,0,targeted,single
108,NoControl,NoControl,,0,0.8200234174728394,0.8199999928474426,0.82,0,Forward,26168,benign,client,0.0012229999697410676,6.739,0.0,90.67754150888436,6.593,0.0,90.80011703827533,0,targeted,single
109,NoControl,NoControl,,0,0.8145485520362854,0.8100000023841858,0.82,0,Forward,26613,benign,client,0.0012170000331934716,6.653,0.0,90.73378760318761,6.456,0.0,90.63463988062742,0,targeted,single
110,NoControl,NoControl,,0,0.8191828727722168,0.8100000023841858,0.82,0,Forward,27025,benign,client,0.0009760000239111832,6.283,0.0,91.043050032243,6.355,0.0,90.7968065393208,0,targeted,single
111,NoControl,NoControl,,0,0.8191828727722168,0.8100000023841858,0.82,0,Forward,27026,benign,client,0.0011850000305457797,6.555,0.0,90.83745962616243,6.598,0.0,90.74866607330425,0,targeted,single
112,NoControl,NoControl,,1,0.8483954071998596,0.8500000238418579,0.85,0,Forward,28043,attack,attacker,0.0014340000120682816,6.671,0.0,90.64197977963423,6.611,0.0,90.6282081375016,0,targeted,single
113,NoControl,NoControl,,1,0.8561848402023315,0.8600000143051147,0.86,0,Forward,28140,attack,attacker,0.0016110000160551863,6.498,0.0,90.7346967030645,6.684,0.0,90.77033123541487,0,targeted,single
114,NoControl,NoControl,,0,0.8438663482666016,0.8500000238418579,0.84,0,Forward,28155,benign,client,0.0011719999974957318,6.986,0.0,90.79854452117226,6.702,0.0,90.9583986930467,0,targeted,single
115,NoControl,NoControl,,1,0.8501219153404236,0.8500000238418579,0.85,0,Forward,29007,attack,attacker,0.0017899999988912896,6.82,0.0,90.76611316023501,6.578,0.0,90.84193285985779,0,targeted,single
116,NoControl,NoControl,,0,0.8129814267158508,0.8199999928474426,0.82,0,Forward,29435,benign,client,0.0011879999988195777,6.725,0.0,90.8904211455063,6.577,0.0,90.9496053046477,0,targeted,single
117,NoControl,NoControl,,0,0.8129838705062866,0.8199999928474426,0.82,0,Forward,29438,benign,client,0.0011390000054234406,6.693,0.0,90.84731789217945,6.89,0.0,90.923563841318,0,targeted,single
118,NoControl,NoControl,,0,0.8164951801300049,0.8199999928474426,0.82,0,Forward,29552,benign,client,0.0014020000094205898,6.936,0.0,91.1290557186468,6.183,0.0,90.71916186424009,0,targeted,single
0,Greedy,Greedy,,1,0.8656986355781555,0.8600000143051147,0.85,6,Isolate,271,attack,attacker,8.42782500001249,7.116,0.0,90.8904211455063,,100.0,0.0,750,targeted,single
1,Greedy,Greedy,,0,0.8092101216316223,0.8100000023841858,0.8,6,Isolate,323,benign,client,9.18136599995023,,100.0,0.0,6.582,0.0,90.70181540719643,210,targeted,single
2,Greedy,Greedy,,1,0.8699979186058044,0.8700000047683716,0.86,6,Isolate,596,attack,attacker,7.948080999995,6.489,0.0,91.90880967077335,,100.0,0.0,0,targeted,single
3,Greedy,Greedy,,1,0.8955565094947815,0.8899999856948853,0.9,6,Isolate,662,attack,attacker,8.828548999986197,6.786,0.0,90.7096617921981,,100.0,0.0,210,targeted,single
4,Greedy,Greedy,,0,0.7705909609794617,0.7699999809265137,0.77,6,Isolate,1203,benign,client,8.409218999986479,,100.0,0.0,6.63,0.0,90.48907751115505,0,targeted,single
5,Greedy,Greedy,,1,0.8352600336074829,0.8299999833106995,0.85,6,Isolate,2496,attack,attacker,8.511661999989428,6.843,0.0,90.81609358874778,,100.0,0.0,0,targeted,single
6,Greedy,Greedy,,1,0.8638322949409485,0.8600000143051147,0.86,6,Isolate,3048,attack,attacker,8.714354000005642,6.565,0.0,90.6561681223204,,100.0,0.0,0,targeted,single
7,Greedy,Greedy,,1,0.86383455991745,0.8600000143051147,0.86,6,Isolate,3050,attack,attacker,9.532589000002645,6.926,0.0,90.59754622429584,,100.0,0.0,140,targeted,single
8,Greedy,Greedy,,0,0.7998348474502563,0.800000011920929,0.8,6,Isolate,3598,benign,client,8.060693999993873,,100.0,0.0,6.675,0.0,90.5379303324505,140,targeted,single
